Created as New Dataset,Sample 003 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
3522.00,72.79
3521.00,72.72
3520.00,72.63
3519.00,72.52
3518.00,72.41
3517.00,72.28
3516.00,72.15
3515.00,72.02
3514.00,71.90
3513.00,71.78
3512.00,71.67
3511.00,71.56
3510.00,71.44
3509.00,71.33
3508.00,71.21
3507.00,71.08
3506.00,70.94
3505.00,70.79
3504.00,70.63
3503.00,70.48
3502.00,70.36
3501.00,70.27
3500.00,70.17
3499.00,70.06
3498.00,69.94
3497.00,69.83
3496.00,69.72
3495.00,69.62
3494.00,69.52
3493.00,69.43
3492.00,69.32
3491.00,69.21
3490.00,69.08
3489.00,68.95
3488.00,68.82
3487.00,68.69
3486.00,68.58
3485.00,68.48
3484.00,68.37
3483.00,68.25
3482.00,68.11
3481.00,67.97
3480.00,67.84
3479.00,67.74
3478.00,67.65
3477.00,67.56
3476.00,67.46
3475.00,67.35
3474.00,67.24
3473.00,67.11
3472.00,66.97
3471.00,66.82
3470.00,66.66
3469.00,66.51
3468.00,66.39
3467.00,66.29
3466.00,66.20
3465.00,66.12
3464.00,66.03
3463.00,65.92
3462.00,65.79
3461.00,65.66
3460.00,65.55
3459.00,65.45
3458.00,65.36
3457.00,65.27
3456.00,65.17
3455.00,65.07
3454.00,64.95
3453.00,64.84
3452.00,64.73
3451.00,64.61
3450.00,64.48
3449.00,64.35
3448.00,64.21
3447.00,64.08
3446.00,63.97
3445.00,63.86
3444.00,63.76
3443.00,63.65
3442.00,63.54
3441.00,63.42
3440.00,63.28
3439.00,63.13
3438.00,62.98
3437.00,62.83
3436.00,62.71
3435.00,62.61
3434.00,62.53
3433.00,62.44
3432.00,62.33
3431.00,62.22
3430.00,62.11
3429.00,62.01
3428.00,61.93
3427.00,61.85
3426.00,61.77
3425.00,61.68
3424.00,61.58
3423.00,61.46
3422.00,61.34
3421.00,61.23
3420.00,61.13
3419.00,61.05
3418.00,60.96
3417.00,60.86
3416.00,60.75
3415.00,60.62
3414.00,60.50
3413.00,60.39
3412.00,60.29
3411.00,60.20
3410.00,60.12
3409.00,60.03
3408.00,59.95
3407.00,59.88
3406.00,59.80
3405.00,59.70
3404.00,59.59
3403.00,59.46
3402.00,59.34
3401.00,59.23
3400.00,59.16
3399.00,59.11
3398.00,59.07
3397.00,59.02
3396.00,58.95
3395.00,58.86
3394.00,58.76
3393.00,58.66
3392.00,58.58
3391.00,58.53
3390.00,58.51
3389.00,58.49
3388.00,58.46
3387.00,58.42
3386.00,58.36
3385.00,58.31
3384.00,58.24
3383.00,58.17
3382.00,58.10
3381.00,58.03
3380.00,57.96
3379.00,57.90
3378.00,57.85
3377.00,57.79
3376.00,57.75
3375.00,57.71
3374.00,57.66
3373.00,57.60
3372.00,57.53
3371.00,57.45
3370.00,57.37
3369.00,57.31
3368.00,57.28
3367.00,57.26
3366.00,57.25
3365.00,57.25
3364.00,57.25
3363.00,57.22
3362.00,57.18
3361.00,57.14
3360.00,57.11
3359.00,57.10
3358.00,57.09
3357.00,57.09
3356.00,57.07
3355.00,57.03
3354.00,56.99
3353.00,56.94
3352.00,56.89
3351.00,56.85
3350.00,56.84
3349.00,56.84
3348.00,56.85
3347.00,56.85
3346.00,56.83
3345.00,56.80
3344.00,56.77
3343.00,56.74
3342.00,56.72
3341.00,56.70
3340.00,56.68
3339.00,56.66
3338.00,56.64
3337.00,56.65
3336.00,56.67
3335.00,56.69
3334.00,56.70
3333.00,56.70
3332.00,56.70
3331.00,56.68
3330.00,56.67
3329.00,56.65
3328.00,56.62
3327.00,56.60
3326.00,56.58
3325.00,56.58
3324.00,56.59
3323.00,56.61
3322.00,56.62
3321.00,56.63
3320.00,56.63
3319.00,56.63
3318.00,56.63
3317.00,56.63
3316.00,56.63
3315.00,56.62
3314.00,56.61
3313.00,56.60
3312.00,56.59
3311.00,56.56
3310.00,56.54
3309.00,56.51
3308.00,56.50
3307.00,56.49
3306.00,56.50
3305.00,56.52
3304.00,56.54
3303.00,56.57
3302.00,56.60
3301.00,56.62
3300.00,56.62
3299.00,56.62
3298.00,56.60
